Financial_Year,Date_of_Fund_Release,State,District,Department,Scheme_Name,Fund_Source,Implementing_Agency,Sanctioned_Amount_Lakhs,Fund_Released_Lakhs,Fund_Utilized_Lakhs,Utilization_Percent,Physical_Target_Units,Physical_Achievement_Units,Physical_Achievement_Percent,Beneficiaries_Target,Beneficiaries_Covered,Beneficiary_Coverage_Percent,Status
2024-25,2021-04-22,Madhya Pradesh,Indore,Ministry of Education,Samagra Shiksha Abhiyan,Centrally Sponsored (60:40),District Panchayat / Zilla Parishad,444.45,239.8,158.75,66.2,393,134.0,34.096692111959285,3387,1092.0,32.24092116917626,Delayed
2023-24,2022-05-22,Bihar,Bhagalpur,Ministry of Education,PM Poshan (Mid-Day Meal Scheme),Centrally Sponsored (60:40),District Panchayat / Zilla Parishad,85.77,78.54,69.93,89.04,457,455.0,99.56236323851203,3673,3681.0,100.21780560849443,Completed
2023-24,2023-05-08,Gujarat,Surat,Ministry of Rural Development,Pradhan Mantri Awas Yojana - Gramin,Centrally Sponsored (60:40),Gram Panchayat,515.58,287.69,272.44,94.7,202,201.0,99.5049504950495,2507,2246.0,89.58915037893898,Completed
2024-25,2023-08-11,Gujarat,vadodara,Ministry of Jal Shakti,Jal Jeevan Mission,Centrally Sponsored (90:10),Gram Panchayat,64.22,46.32,24.51,52.91,299,97.0,32.441471571906355,4885,1512.0,30.95189355168884,Delayed
2021-22,2021-10-19,Kerala,Thrissur,Ministry of Rural Development,Pradhan Mantri Awas Yojana - Gramin,Centrally Sponsored (60:40),Gram Panchayat,746.58,488.41,477.33,97.73,349,348.0,99.7134670487106,3241,3134.0,96.69854983029929,Completed
2024-25,2023-12-09,Rajasthan,Ajmer,Ministry of Jal Shakti,Jal Jeevan Mission,Centrally Sponsored (90:10),NGO / Partner Organisation,521.85,315.03,274.79,87.23,318,317.0,99.68553459119497,4070,3695.0,90.7862407862408,Completed
2022-23,2022-06-25,Gujarat,Ahmedabad,Ministry of Agriculture & Farmers Welfare,PM Kisan Samman Nidhi,Central Sector,Gram Panchayat,90.74,45.94,44.38,96.6,431,430.0,99.76798143851508,3446,3414.0,99.07138711549622,Completed
2022-23,2022-05-12,West Bengal, Asansol,Ministry of Rural Development,Mahatma Gandhi National Rural Employment Guarantee Scheme,Centrally Sponsored (60:40),State Nodal Agency,203.88,185.67,0.0,0.0,495,0.0,0.0,4189,0.0,0.0,Not Started
2021-22,2021-10-13,Maharashtra, Pune,Ministry of Agriculture & Farmers Welfare,Pradhan Mantri Fasal Bima Yojana,Central Sector,Gram Panchayat,714.37,429.88,384.17,89.37,462,460.0,99.56709956709958,3316,2988.0,90.10856453558505,Completed
2024-25,2023-01-04,Gujarat,Rajkot,Ministry of Rural Development,Pradhan Mantri Awas Yojana - Gramin,Centrally Sponsored (60:40),Gram Panchayat,174.97,152.55,140.34,92.0,8,7.0,87.5,4248,3466.0,81.59133709981168,Completed
2022-23,2021-06-30,Gujarat,Surat,Ministry of Education,PM Poshan (Mid-Day Meal Scheme),Centrally Sponsored (60:40),District Panchayat / Zilla Parishad,172.7,127.51,47.5,37.25,245,215.0,87.75510204081633,846,703.0,83.096926713948,Delayed
2024-25,2021-09-01,Kerala,Thiruvananthapuram,Ministry of Jal Shakti,Jal Jeevan Mission,Centrally Sponsored (90:10),District Panchayat / Zilla Parishad,38.51,33.63,15.82,47.04,185,130.0,70.27027027027027,3090,2230.0,72.168284789644,Delayed
2022-23,2024-03-17,Madhya Pradesh,Indore,Ministry of Rural Development,Pradhan Mantri Gram Sadak Yojana,Centrally Sponsored (60:40),District Panchayat / Zilla Parishad,295.48,196.85,179.06,90.96,271,269.0,99.2619926199262,2094,1930.0,92.16809933142312,Completed
2022-23,2022-08-25,Uttar Pradesh, Lucknow,Ministry of Rural Development,Pradhan Mantri Awas Yojana - Gramin,Centrally Sponsored (60:40),Urban Local Body (ULB),376.75,296.3,253.06,85.41,330,328.0,99.39393939393939,823,825.0,100.24301336573511,Completed
2024-25,2025-03-08,Rajasthan,Ajmer,Ministry of Education,Samagra Shiksha Abhiyan,Centrally Sponsored (60:40),NGO / Partner Organisation,256.61,133.29,0.0,0.0,489,0.0,0.0,541,0.0,0.0,Not Started
2022-23,2023-11-15,Uttar Pradesh,Agra,Ministry of Rural Development,Mahatma Gandhi National Rural Employment Guarantee Scheme,Centrally Sponsored (60:40),District Panchayat / Zilla Parishad,281.07,154.73,106.75,68.99,380,368.0,96.84210526315789,3992,3823.0,95.76653306613227,Delayed
2022-23,2024-03-08,Karnataka,Hubballi,Ministry of Rural Development,Pradhan Mantri Awas Yojana - Gramin,Centrally Sponsored (60:40),Gram Panchayat,47.09,44.53,28.63,64.29,349,199.0,57.02005730659025,2846,1482.0,52.073085031623336,Ongoing
2022-23,2024-08-06,Kerala,Kollam,Ministry of Health & Family Welfare,National Health Mission,Centrally Sponsored (60:40),District Panchayat / Zilla Parishad,271.12,254.93,0.0,0.0,18,0.0,0.0,2226,0.0,0.0,Not Started
2022-23,2022-06-08,Uttar Pradesh,varanasi,Ministry of Rural Development,Pradhan Mantri Awas Yojana - Gramin,Centrally Sponsored (60:40),State Nodal Agency,196.46,103.99,0.0,0.0,495,0.0,0.0,4197,0.0,0.0,Not Started
2023-24,2023-06-18,West Bengal,siliguri,Ministry of Health & Family Welfare,Ayushman Bharat - Pradhan Mantri Jan Arogya Yojana,Centrally Sponsored (60:40),Gram Panchayat,608.11,388.13,250.4,64.51,179,158.0,88.26815642458101,4884,4047.0,82.86240786240786,Ongoing
2021-22,2024-10-23,Tamil Nadu,Salem,Ministry of Rural Development,Pradhan Mantri Gram Sadak Yojana,Centrally Sponsored (60:40),Urban Local Body (ULB),648.96,632.89,538.64,85.11,26,26.0,100.0,3977,3996.0,100.47774704551169,Completed
2024-25,2024-03-21,Karnataka,Hubballi,Ministry of Health & Family Welfare,National Health Mission,Centrally Sponsored (60:40),State Nodal Agency,666.74,579.2,569.19,98.27,319,318.0,99.68652037617555,1220,1173.0,96.14754098360656,Completed
2022-23,2022-12-10,Uttar Pradesh,Varanasi,Ministry of Rural Development,Mahatma Gandhi National Rural Employment Guarantee Scheme,Centrally Sponsored (60:40),Gram Panchayat,162.64,137.4,126.98,92.42,199,113.0,56.78391959798995,1286,663.0,51.555209953343706,Ongoing
2023-24,2024-11-19,Karnataka,Belagavi,Ministry of Jal Shakti,Jal Jeevan Mission,Centrally Sponsored (90:10),State Nodal Agency,343.91,301.76,270.71,89.71,84,82.0,97.61904761904762,2443,2184.0,89.39828080229226,Completed
2022-23,2023-05-28,Bihar,darbhanga,Ministry of Rural Development,Pradhan Mantri Gram Sadak Yojana,Centrally Sponsored (60:40),Gram Panchayat,515.71,312.46,283.72,90.8,349,135.0,38.68194842406877,417,164.0,39.328537170263786,Ongoing
2023-24,2024-02-11,Rajasthan,Kota,Ministry of Rural Development,Pradhan Mantri Awas Yojana - Gramin,Centrally Sponsored (60:40),Urban Local Body (ULB),562.24,506.91,453.99,89.56,93,88.0,94.6236559139785,600,560.0,93.33333333333333,Ongoing
2023-24,2024-03-21,Madhya Pradesh, Ujjain,Ministry of Jal Shakti,Swachh Bharat Mission - Gramin,Centrally Sponsored (60:40),Urban Local Body (ULB),748.08,430.58,421.25,97.83,242,241.0,99.58677685950413,3618,3270.0,90.38142620232172,Completed
2022-23,2024-01-27,Madhya Pradesh,Indore,Ministry of Rural Development,Pradhan Mantri Awas Yojana - Gramin,Centrally Sponsored (60:40),Urban Local Body (ULB),370.93,281.72,122.82,43.6,237,2.0,0.8438818565400843,4344,38.0,0.8747697974217311,Delayed
2022-23,2023-01-25,Madhya Pradesh,Gwalior,Ministry of Agriculture & Farmers Welfare,Pradhan Mantri Fasal Bima Yojana,Central Sector,State Nodal Agency,458.08,247.43,174.44,81.965,345,343.0,99.42028985507247,425,405.0,95.29411764705881,Completed
2023-24,2022-04-08,Madhya Pradesh,Gwalior,Ministry of Education,PM Poshan (Mid-Day Meal Scheme),Centrally Sponsored (60:40),Urban Local Body (ULB),703.23,475.25,164.51,34.62,299,7.0,2.341137123745819,2646,56.0,2.1164021164021163,Ongoing
2022-23,2021-05-16,Kerala,Thiruvananthapuram ,Ministry of Rural Development,Pradhan Mantri Awas Yojana - Gramin,Centrally Sponsored (60:40),District Panchayat / Zilla Parishad,397.96,293.44,285.49,97.29,342,342.0,100.0,4984,4865.0,97.6123595505618,Completed
2022-23,2024-09-23,Karnataka,Hubballi,Ministry of Jal Shakti,Swachh Bharat Mission - Gramin,Centrally Sponsored (60:40),State Nodal Agency,750.91,582.15,505.08,86.76,252,251.0,99.60317460317461,484,436.0,90.08264462809917,Completed
2022-23,2021-08-21,Kerala,Thiruvananthapuram,Ministry of Rural Development,Pradhan Mantri Gram Sadak Yojana,Centrally Sponsored (60:40),State Nodal Agency,340.26,250.25,212.78,85.03,393,393.0,100.0,1402,1418.0,101.14122681883025,Completed
2023-24,2023-11-14,West Bengal,Durgapur,Ministry of Jal Shakti,Jal Jeevan Mission,Centrally Sponsored (90:10),District Panchayat / Zilla Parishad,203.88,183.18,169.72,92.65,197,184.0,93.4010152284264,3957,3670.0,92.74703057872125,Delayed
2021-22,2025-01-05,Maharashtra,Nashik ,Ministry of Health & Family Welfare,Ayushman Bharat - Pradhan Mantri Jan Arogya Yojana,Centrally Sponsored (60:40),District Panchayat / Zilla Parishad,137.21,78.48,61.76,78.7,87,2.0,2.2988505747126435,1979,46.0,2.3244062657908033,Ongoing
2023-24,2022-12-27,Gujarat,Rajkot,Ministry of Health & Family Welfare,Ayushman Bharat - Pradhan Mantri Jan Arogya Yojana,Centrally Sponsored (60:40),Gram Panchayat,92.03,62.91,61.96,98.49,89,89.0,100.0,4859,4866.0,100.14406256431366,Completed
2024-25,2023-06-01,Uttar Pradesh,Kanpur,Ministry of Health & Family Welfare,Ayushman Bharat - Pradhan Mantri Jan Arogya Yojana,Centrally Sponsored (60:40),NGO / Partner Organisation,170.08,87.74,0.0,0.0,315,0.0,0.0,1104,0.0,0.0,Not Started
2023-24,2023-04-20,Gujarat,Vadodara,Ministry of Health & Family Welfare,National Health Mission,Centrally Sponsored (60:40),District Panchayat / Zilla Parishad,517.51,266.49,259.59,97.41,230,108.0,46.95652173913044,2434,1045.0,42.93344289235826,Ongoing
2024-25,2021-09-08,Karnataka,Mangaluru,Ministry of Agriculture & Farmers Welfare,PM Kisan Samman Nidhi,Central Sector,Gram Panchayat,685.42,552.54,482.48,87.32,456,455.0,99.78070175438597,132,131.0,99.24242424242425,Completed
2021-22,2023-05-25,Tamil Nadu,Coimbatore,Ministry of Agriculture & Farmers Welfare,Pradhan Mantri Fasal Bima Yojana,Central Sector,District Panchayat / Zilla Parishad,684.47,345.7,261.06,75.52,286,171.0,59.79020979020979,2394,1427.0,59.60735171261488,Ongoing
2023-24,2023-03-18,Gujarat,Surat,Ministry of Rural Development,Mahatma Gandhi National Rural Employment Guarantee Scheme,Centrally Sponsored (60:40),Gram Panchayat,93.38,69.29,24.48,35.33,137,28.0,20.437956204379564,940,182.0,19.361702127659576,Ongoing
2021-22,2023-06-10,Kerala,Kozhikode,Ministry of Jal Shakti,Jal Jeevan Mission,Centrally Sponsored (90:10),District Panchayat / Zilla Parishad,450.12,229.16,72.63,31.69,9,6.0,66.66666666666666,2688,1758.0,65.40178571428571,Ongoing
2024-25,2024-02-17,Maharashtra,pune,Ministry of Agriculture & Farmers Welfare,PM Kisan Samman Nidhi,Central Sector,NGO / Partner Organisation,551.57,514.88,458.27,89.01,224,224.0,100.0,2443,2330.0,95.37453950061399,Completed
2022-23,2025-03-04,West Bengal, Siliguri,Ministry of Rural Development,Pradhan Mantri Gram Sadak Yojana,Centrally Sponsored (60:40),NGO / Partner Organisation,108.48,82.22,41.67,50.68,87,52.0,59.77011494252874,1986,1226.0,61.73212487411883,Ongoing
2023-24,2024-11-16,Karnataka,Belagavi,Ministry of Health & Family Welfare,National Health Mission,Centrally Sponsored (60:40),District Panchayat / Zilla Parishad,114.67,79.23,71.04,89.66,405,405.0,100.0,795,795.0,100.0,Completed
2024-25,2023-08-26,Gujarat,Rajkot ,Ministry of Health & Family Welfare,National Health Mission,Centrally Sponsored (60:40),District Panchayat / Zilla Parishad,686.01,625.5,0.0,0.0,438,0.0,0.0,2563,0.0,0.0,Not Started
2022-23,2024-01-20,Madhya Pradesh,Gwalior,Ministry of Agriculture & Farmers Welfare,Pradhan Mantri Fasal Bima Yojana,Central Sector,State Nodal Agency,45.72,27.46,25.38,92.43,452,294.0,65.04424778761062,1037,664.0,64.03085824493732,Ongoing
2023-24,2022-11-29,Karnataka,Mangaluru,Ministry of Rural Development,Mahatma Gandhi National Rural Employment Guarantee Scheme,Centrally Sponsored (60:40),District Panchayat / Zilla Parishad,270.45,225.45,165.34,73.34,487,409.0,83.9835728952772,839,690.0,82.24076281287248,Ongoing
2024-25,2024-03-13,Madhya Pradesh,bhopal,Ministry of Education,Samagra Shiksha Abhiyan,Centrally Sponsored (60:40),State Nodal Agency,608.99,346.32,336.89,97.28,231,231.0,100.0,3342,3279.0,98.1149012567325,Completed
2022-23,2021-04-26,Bihar,Patna,Ministry of Agriculture & Farmers Welfare,Pradhan Mantri Fasal Bima Yojana,Central Sector,Gram Panchayat,382.48,197.04,78.93,40.06,232,4.0,1.7241379310344827,912,14.0,1.5350877192982455,Ongoing
2024-25,2021-08-09,Bihar,Muzaffarpur,Ministry of Jal Shakti,Swachh Bharat Mission - Gramin,Centrally Sponsored (60:40),NGO / Partner Organisation,262.75,165.28,174.44,81.965,210,80.0,38.095238095238095,426,154.0,36.15023474178404,Delayed
2021-22,2021-08-23,Bihar,Darbhanga,Ministry of Jal Shakti,Jal Jeevan Mission,Centrally Sponsored (90:10),District Panchayat / Zilla Parishad,527.13,462.29,454.61,98.34,436,435.0,99.77064220183486,4844,4862.0,100.37159372419488,Completed
2022-23,2022-04-14,Madhya Pradesh, Gwalior,Ministry of Agriculture & Farmers Welfare,PM Kisan Samman Nidhi,Central Sector,Gram Panchayat,756.6,590.54,355.12,60.13,23,10.0,43.47826086956522,4677,1862.0,39.81184519991447,Delayed
2022-23,2024-07-26,Gujarat,Bhavnagar,Ministry of Rural Development,Pradhan Mantri Gram Sadak Yojana,Centrally Sponsored (60:40),NGO / Partner Organisation,179.32,112.42,109.34,97.26,443,380.0,85.77878103837472,2865,2233.0,77.94066317626528,Delayed
2023-24,2022-04-27,Tamil Nadu,Tiruchirappalli,Ministry of Agriculture & Farmers Welfare,PM Kisan Samman Nidhi,Central Sector,Urban Local Body (ULB),402.61,328.54,303.07,92.25,223,223.0,100.0,3826,3844.0,100.47046523784631,Completed
2022-23,2021-05-18,Karnataka,Hubballi,Ministry of Rural Development,Pradhan Mantri Awas Yojana - Gramin,Centrally Sponsored (60:40),Gram Panchayat,64.26,34.25,34.01,99.3,86,86.0,100.0,198,200.0,101.01010101010101,Completed
2023-24,2023-04-09,Maharashtra,Nagpur,Ministry of Jal Shakti,Swachh Bharat Mission - Gramin,Centrally Sponsored (60:40),Gram Panchayat,72.44,58.77,58.09,98.84,480,111.0,23.125,1920,441.0,22.96875,Ongoing
2022-23,2023-02-06,Madhya Pradesh,Jabalpur,Ministry of Education,Samagra Shiksha Abhiyan,Centrally Sponsored (60:40),Gram Panchayat,425.18,346.94,0.0,0.0,6,0.0,0.0,2744,0.0,0.0,Not Started
2024-25,2024-02-06,Bihar,gaya,Ministry of Rural Development,Mahatma Gandhi National Rural Employment Guarantee Scheme,Centrally Sponsored (60:40),State Nodal Agency,514.24,300.82,295.2,98.13,301,299.0,99.33554817275747,2742,2549.0,92.96134208606857,Completed
2023-24,2022-05-08,Uttar Pradesh,Varanasi,Ministry of Rural Development,Pradhan Mantri Gram Sadak Yojana,Centrally Sponsored (60:40),NGO / Partner Organisation,82.49,50.56,45.21,89.42,337,241.0,71.51335311572701,466,1202.0,257.9399141630901,Ongoing
2022-23,2024-11-29,Bihar,Gaya,Ministry of Health & Family Welfare,National Health Mission,Centrally Sponsored (60:40),Gram Panchayat,281.71,240.25,193.82,80.67,307,148.0,48.20846905537459,1050,528.0,50.28571428571429,Ongoing
2022-23,2022-09-18,West Bengal,Kolkata,Ministry of Rural Development,Mahatma Gandhi National Rural Employment Guarantee Scheme,Centrally Sponsored (60:40),Gram Panchayat,761.49,530.28,0.0,0.0,148,0.0,0.0,388,0.0,0.0,Not Started
2022-23,2024-05-19,Kerala,Thrissur,Ministry of Jal Shakti,Swachh Bharat Mission - Gramin,Centrally Sponsored (60:40),District Panchayat / Zilla Parishad,298.65,270.8,0.0,0.0,14,0.0,0.0,721,0.0,0.0,Not Started
2021-22,2021-08-25,Kerala, Kollam,Ministry of Health & Family Welfare,National Health Mission,Centrally Sponsored (60:40),State Nodal Agency,43.2,40.32,34.86,86.46,477,477.0,100.0,4045,4063.0,100.4449938195303,Completed
2022-23,2023-03-22,Gujarat, Vadodara,Ministry of Jal Shakti,Jal Jeevan Mission,Centrally Sponsored (90:10),Gram Panchayat,578.08,313.58,136.91,43.66,33,11.0,33.33333333333333,4454,1514.0,33.991917377638075,Ongoing
2024-25,2023-05-21,Kerala,Kollam,Ministry of Jal Shakti,Swachh Bharat Mission - Gramin,Centrally Sponsored (60:40),NGO / Partner Organisation,496.16,481.23,462.09,96.02,259,168.0,64.86486486486487,2210,1374.0,62.171945701357465,Ongoing
2021-22,2022-01-18,Madhya Pradesh,Jabalpur,Ministry of Health & Family Welfare,Ayushman Bharat - Pradhan Mantri Jan Arogya Yojana,Centrally Sponsored (60:40),State Nodal Agency,147.05,75.51,67.29,89.11,24,23.0,95.83333333333334,4891,4326.0,88.4481701083623,Completed
2024-25,2024-09-03,Bihar, Patna,Ministry of Agriculture & Farmers Welfare,Pradhan Mantri Fasal Bima Yojana,Central Sector,NGO / Partner Organisation,148.25,89.22,58.6,65.68,64,39.0,60.9375,4849,2945.0,60.73417199422562,Ongoing
2021-22,2022-09-12,Karnataka,Belagavi,Ministry of Rural Development,Mahatma Gandhi National Rural Employment Guarantee Scheme,Centrally Sponsored (60:40),State Nodal Agency,101.89,98.65,31.54,31.97,387,272.0,70.28423772609818,243,167.0,68.72427983539094,Ongoing
2024-25,2024-11-12,Gujarat,Bhavnagar ,Ministry of Education,Samagra Shiksha Abhiyan,Centrally Sponsored (60:40),NGO / Partner Organisation,222.06,122.99,100.89,82.03,178,158.0,88.76404494382022,3363,2693.0,80.07731192387749,Ongoing
2022-23,2021-11-09,Bihar,Darbhanga,Ministry of Rural Development,Mahatma Gandhi National Rural Employment Guarantee Scheme,Centrally Sponsored (60:40),Gram Panchayat,295.17,199.37,174.44,81.965,317,259.0,81.70347003154575,206,171.0,83.00970873786407,Delayed
2024-25,2023-04-25,Karnataka,hubballi,Ministry of Rural Development,Pradhan Mantri Awas Yojana - Gramin,Centrally Sponsored (60:40),District Panchayat / Zilla Parishad,61.51,46.58,45.54,97.77,462,460.0,99.56709956709958,948,852.0,89.87341772151899,Completed
2023-24,2023-10-22,Uttar Pradesh,Lucknow,Ministry of Rural Development,Pradhan Mantri Gram Sadak Yojana,Centrally Sponsored (60:40),Urban Local Body (ULB),648.33,563.82,174.44,81.965,315,282.0,89.52380952380953,3213,2661.0,82.81979458450047,Delayed
2023-24,2022-10-27,Rajasthan,Jaipur,Ministry of Jal Shakti,Swachh Bharat Mission - Gramin,Centrally Sponsored (60:40),NGO / Partner Organisation,143.57,98.39,0.0,0.0,59,0.0,0.0,92,0.0,0.0,Not Started
2023-24,2022-02-09,Maharashtra,Pune,Ministry of Jal Shakti,Jal Jeevan Mission,Centrally Sponsored (90:10),District Panchayat / Zilla Parishad,616.63,571.39,287.03,50.23,261,213.0,81.60919540229885,4930,4141.0,83.99594320486815,Ongoing
2023-24,2022-11-02,Uttar Pradesh,Agra,Ministry of Education,Samagra Shiksha Abhiyan,Centrally Sponsored (60:40),Gram Panchayat,303.09,235.29,225.85,95.99,189,188.0,99.47089947089947,431,412.0,95.59164733178655,Completed
2022-23,2021-06-16,Tamil Nadu,Chennai ,Ministry of Agriculture & Farmers Welfare,PM Kisan Samman Nidhi,Central Sector,Gram Panchayat,268.79,258.04,117.6,45.57,390,23.0,5.897435897435897,2620,153.0,5.8396946564885495,Ongoing
2024-25,2024-03-12,Kerala,Thrissur ,Ministry of Jal Shakti,Swachh Bharat Mission - Gramin,Centrally Sponsored (60:40),Gram Panchayat,411.36,245.43,227.2,92.57,317,316.0,99.6845425867508,2841,2573.0,90.5667018655403,Completed
2021-22,2024-05-20,Tamil Nadu,Madurai,Ministry of Rural Development,Pradhan Mantri Awas Yojana - Gramin,Centrally Sponsored (60:40),State Nodal Agency,183.98,116.86,38.22,32.71,269,127.0,47.21189591078067,3757,1668.0,44.3971253659835,Ongoing
2023-24,2023-03-01,Bihar,Patna,Ministry of Education,Samagra Shiksha Abhiyan,Centrally Sponsored (60:40),District Panchayat / Zilla Parishad,238.79,148.87,129.54,87.02,42,14.0,33.33333333333333,2773,863.0,31.121529029931484,Ongoing
2022-23,2022-07-21,Maharashtra,Kolhapur,Ministry of Jal Shakti,Jal Jeevan Mission,Centrally Sponsored (90:10),State Nodal Agency,173.19,161.54,174.44,81.965,51,30.0,58.82352941176471,1806,1011.0,55.98006644518272,Delayed
2023-24,2021-08-21,Rajasthan, Jaipur,Ministry of Jal Shakti,Jal Jeevan Mission,Centrally Sponsored (90:10),Urban Local Body (ULB),460.98,323.08,200.14,61.95,236,78.0,33.05084745762712,2882,908.0,31.5058986814712,Delayed
2022-23,2022-08-05,Bihar,Bhagalpur,Ministry of Education,PM Poshan (Mid-Day Meal Scheme),Centrally Sponsored (60:40),District Panchayat / Zilla Parishad,246.54,217.01,202.76,93.43,265,212.0,80.0,2246,1714.0,76.31344612644702,Delayed
2022-23,2025-03-12,Kerala,Kozhikode ,Ministry of Rural Development,Pradhan Mantri Awas Yojana - Gramin,Centrally Sponsored (60:40),State Nodal Agency,501.85,291.94,200.97,68.84,259,112.0,43.24324324324324,3883,1707.0,43.96085500901365,Delayed
2021-22,2022-05-31,Kerala,Kozhikode,Ministry of Education,Samagra Shiksha Abhiyan,Centrally Sponsored (60:40),State Nodal Agency,29.2,25.99,22.47,86.46,305,305.0,100.0,2343,2345.0,100.08536064874095,Completed
2023-24,2023-05-16,Uttar Pradesh,Meerut,Ministry of Jal Shakti,Jal Jeevan Mission,Centrally Sponsored (90:10),District Panchayat / Zilla Parishad,543.23,344.62,156.66,45.46,291,14.0,4.810996563573884,1100,54.0,4.909090909090909,Delayed
2023-24,2025-01-29,Maharashtra,Aurangabad,Ministry of Rural Development,Pradhan Mantri Awas Yojana - Gramin,Centrally Sponsored (60:40),Urban Local Body (ULB),546.57,540.47,485.76,89.88,285,81.0,28.421052631578945,1793,466.0,25.989960959286112,Ongoing
2022-23,2024-04-03,West Bengal,Asansol,Ministry of Rural Development,Pradhan Mantri Awas Yojana - Gramin,Centrally Sponsored (60:40),Gram Panchayat,36.27,24.49,14.98,61.17,119,13.0,10.92436974789916,82,9.0,10.975609756097562,Ongoing
2024-25,2022-06-28,Karnataka,Bengaluru,Ministry of Jal Shakti,Swachh Bharat Mission - Gramin,Centrally Sponsored (60:40),District Panchayat / Zilla Parishad,186.53,108.22,94.4,87.23,181,179.0,98.89502762430939,2522,2492.0,98.81046788263284,Completed
2024-25,2021-12-18,Bihar, Gaya,Ministry of Jal Shakti,Swachh Bharat Mission - Gramin,Centrally Sponsored (60:40),Urban Local Body (ULB),326.13,305.21,278.88,91.37,270,269.0,99.62962962962963,4779,4773.0,99.87445072190835,Completed
2024-25,2024-02-09,Rajasthan,Kota,Ministry of Rural Development,Pradhan Mantri Gram Sadak Yojana,Centrally Sponsored (60:40),Gram Panchayat,699.34,583.68,523.7,89.72,201,200.0,99.50248756218906,3913,1202.0,30.718119090212113,Completed
2022-23,2023-08-13,Kerala,Kollam,Ministry of Jal Shakti,Jal Jeevan Mission,Centrally Sponsored (90:10),Gram Panchayat,747.32,695.1,174.44,81.965,492,295.0,59.959349593495936,1299,727.0,55.966127790608155,Ongoing
2023-24,2025-03-19,Kerala,thiruvananthapuram,Ministry of Jal Shakti,Jal Jeevan Mission,Centrally Sponsored (90:10),District Panchayat / Zilla Parishad,47.28,39.63,0.0,0.0,86,0.0,0.0,4490,0.0,0.0,Not Started
2023-24,2024-01-02,Gujarat,Rajkot,Ministry of Rural Development,Mahatma Gandhi National Rural Employment Guarantee Scheme,Centrally Sponsored (60:40),Gram Panchayat,571.58,364.52,247.44,67.88,87,85.0,97.70114942528735,3081,2953.0,95.8455047062642,Delayed
2024-25,2021-06-18,Uttar Pradesh,Meerut,Ministry of Rural Development,Mahatma Gandhi National Rural Employment Guarantee Scheme,Centrally Sponsored (60:40),Gram Panchayat,494.47,484.95,189.34,39.04,434,126.0,29.03225806451613,1364,363.0,26.61290322580645,Ongoing
2021-22,2022-04-20,Tamil Nadu,Coimbatore,Ministry of Rural Development,Mahatma Gandhi National Rural Employment Guarantee Scheme,Centrally Sponsored (60:40),State Nodal Agency,20.72,20.06,19.57,97.56,197,195.0,98.98477157360406,3354,3000.0,89.44543828264759,Completed
2022-23,2021-11-04,Tamil Nadu,Salem ,Ministry of Jal Shakti,Jal Jeevan Mission,Centrally Sponsored (90:10),State Nodal Agency,766.18,396.81,0.0,0.0,189,0.0,0.0,3240,0.0,0.0,Not Started
2023-24,2025-01-01,Uttar Pradesh,Meerut,Ministry of Agriculture & Farmers Welfare,Pradhan Mantri Fasal Bima Yojana,Central Sector,State Nodal Agency,102.21,97.52,58.6,60.09,382,24.0,6.282722513089005,723,46.0,6.36237897648686,Delayed
2022-23,2021-10-17,Gujarat,Rajkot,Ministry of Education,Samagra Shiksha Abhiyan,Centrally Sponsored (60:40),Urban Local Body (ULB),76.22,46.16,0.0,0.0,411,0.0,0.0,1676,0.0,0.0,Not Started
2022-23,2023-03-14,Rajasthan,Ajmer,Ministry of Health & Family Welfare,National Health Mission,Centrally Sponsored (60:40),State Nodal Agency,256.93,247.73,236.89,95.62,458,456.0,99.56331877729258,985,985.0,100.0,Completed
2024-25,2023-02-28,Gujarat, Rajkot,Ministry of Rural Development,Pradhan Mantri Awas Yojana - Gramin,Centrally Sponsored (60:40),Gram Panchayat,241.83,222.15,116.63,52.5,108,84.0,77.77777777777779,4297,3359.0,78.17081684896439,Delayed
2024-25,2023-07-07,Madhya Pradesh, Jabalpur,Ministry of Health & Family Welfare,Ayushman Bharat - Pradhan Mantri Jan Arogya Yojana,Centrally Sponsored (60:40),State Nodal Agency,458.62,249.02,229.95,92.34,362,360.0,99.4475138121547,2030,1202.0,59.21182266009852,Completed
2024-25,2024-06-13,Gujarat,Vadodara,Ministry of Jal Shakti,Swachh Bharat Mission - Gramin,Centrally Sponsored (60:40),District Panchayat / Zilla Parishad,268.44,245.83,236.84,96.34,78,57.0,73.07692307692307,1631,1087.0,66.64622930717351,Delayed
2024-25,2022-07-06,Bihar,Patna,Ministry of Agriculture & Farmers Welfare,PM Kisan Samman Nidhi,Central Sector,Gram Panchayat,730.36,376.3,357.82,95.09,336,336.0,100.0,4376,4212.0,96.25228519195612,Completed
2023-24,2021-11-11,Kerala,Thiruvananthapuram,Ministry of Rural Development,Mahatma Gandhi National Rural Employment Guarantee Scheme,Centrally Sponsored (60:40),Urban Local Body (ULB),326.42,216.11,125.45,58.05,196,29.0,14.795918367346939,2775,416.0,14.99099099099099,Ongoing
2024-25,2022-02-09,Kerala,Thrissur,Ministry of Education,PM Poshan (Mid-Day Meal Scheme),Centrally Sponsored (60:40),State Nodal Agency,361.63,313.29,174.44,81.965,223,50.0,22.421524663677133,3938,847.0,21.508379888268156,Ongoing
